date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:23	3440/3440	---M--	200	added ('OK')	image/png	etag:%22d70-67e2872b-260a8707bdc2e58f;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/02.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/02.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:24	787/787	---M--	200	added ('OK')	image/png	etag:%22313-67e2872b-56552b8d38ad405c;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/02.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/02.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:24	2645/2645	---M--	200	added ('OK')	image/png	etag:%22a55-67e2872b-d3561ca36d7aa748;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/03.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/03.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:24	799/799	---M--	200	added ('OK')	image/png	etag:%2231f-67e2872b-d8a471492b4cb6de;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/03.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/03.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:25	2815/2815	---M--	200	added ('OK')	image/png	etag:%22aff-67e2872b-222c28abf2a026b4;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/04.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/04.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:25	1078/1078	---M--	200	added ('OK')	image/png	etag:%22436-67e2872b-97374f6f3a5b0355;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/04.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/04.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:25	2988/2988	---M--	200	added ('OK')	image/png	etag:%22bac-67e2872b-f519032e02e9bfbc;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/05.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/05.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:26	886/886	---M--	200	added ('OK')	image/png	etag:%22376-67e2872b-abe9704e4f6d5ef0;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/05.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/05.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:26	2655/2655	---M--	200	added ('OK')	image/png	etag:%22a5f-67e2872b-31c9384f6b9056cb;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/06.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/06.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:26	795/795	---M--	200	added ('OK')	image/png	etag:%2231b-67e2872b-bb780bf2cd9b977;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/06.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/06.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:27	2635/2635	---M--	200	added ('OK')	image/png	etag:%22a4b-67e2872b-e69c0e61c22c7d92;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/07.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/07.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:27	744/744	---M--	200	added ('OK')	image/png	etag:%222e8-67e2872b-89682f64793b039c;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/07.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/07.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:27	3278/3278	---M--	200	added ('OK')	image/png	etag:%22cce-67e2872b-8c04d9c61636d469;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/08.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/08.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:28	912/912	---M--	200	added ('OK')	image/png	etag:%22390-67e2872b-f1a76aeb7099d967;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/09.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/09.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
